row_type,measurement_index,target_x_mm,target_y_mm,target_force_N,actual_x_mm,actual_y_mm,position_time_s,actual_force_N,force_time_s,eit_0,eit_1,eit_2,eit_3,eit_4,eit_5,eit_6,eit_7,eit_8,eit_9,eit_10,eit_11,eit_12,eit_13,eit_14,eit_15,eit_time_s
contact,10.0,66.692308,17.34188,4.0,66.69,17.34,171.07824058799997,4.2802,181.1321307190001,0.1396692307692307,0.1421769230769231,0.13413846153846157,0.13382307692307688,0.2876692307692308,0.2749923076923077,0.22100000000000003,0.21890000000000004,0.13601538461538462,0.13974615384615383,0.22712307692307696,0.24034615384615388,0.1683538461538462,0.17009230769230768,0.18707692307692309,0.1823384615384615,182.22995905100012
baseline,11.0,61.769231,24.846154,2.0,61.77,24.85,184.4188987409998,0.0,,0.13900769230769233,0.1420307692307692,0.1368923076923077,0.1362615384615385,0.3128230769230769,0.3039153846153846,0.28380769230769226,0.27431538461538457,0.13853076923076926,0.1482846153846154,0.2363923076923077,0.2429230769230769,0.16648461538461537,0.16844615384615388,0.19227692307692307,0.18736153846153844,184.61003831000016
contact,11.0,61.769231,24.846154,2.0,61.77,24.85,184.4188987409998,2.1813,194.6930867560004,0.13842307692307695,0.14117692307692306,0.13586923076923074,0.13539999999999996,0.3049923076923077,0.29587692307692304,0.292,0.29035384615384613,0.13650000000000004,0.14633076923076926,0.2347846153846154,0.24219230769230776,0.16613076923076922,0.16763076923076925,0.1846692307692308,0.17914615384615384,195.8615682720001
baseline,12.0,89.666667,27.962963,2.0,89.67,27.96,199.5086334309999,0.0,,0.13638461538461538,0.1376076923076923,0.13176923076923075,0.13133846153846154,0.3033461538461539,0.2960615384615385,0.20384615384615382,0.2035,0.1354923076923077,0.1446076923076923,0.23979999999999999,0.2485846153846154,0.1665923076923077,0.1675076923076923,0.1886230769230769,0.18216153846153846,199.5416137479997
contact,12.0,89.666667,27.962963,2.0,89.67,27.96,199.5086334309999,2.5113,209.2251988630005,0.13840769230769234,0.1410076923076923,0.13526923076923075,0.13437692307692306,0.30466923076923075,0.29628461538461537,0.2464923076923077,0.2455076923076923,0.13667692307692308,0.1467846153846154,0.24945384615384614,0.2575076923076923,0.16976923076923076,0.16999230769230766,0.18634615384615383,0.18363846153846153,210.3594914639998
baseline,13.0,86.384615,28.042735,2.0,86.38,28.04,212.1117646749999,0.0,,0.1377461538461538,0.1404769230769231,0.13491538461538463,0.13481538461538461,0.3057230769230769,0.2961923076923077,0.24673076923076923,0.24547692307692306,0.13634615384615387,0.14593846153846152,0.24618461538461542,0.25336153846153847,0.16854615384615387,0.1697076923076923,0.18573846153846155,0.1823384615384615,212.3077059490006
contact,13.0,86.384615,28.042735,2.0,86.38,28.04,212.1117646749999,2.0891,221.2894588600002,0.1374076923076923,0.13977692307692305,0.13460769230769234,0.1346692307692308,0.3039384615384615,0.2942538461538461,0.24539230769230774,0.2446076923076923,0.13390769230769228,0.14379230769230766,0.2476307692307692,0.25561538461538463,0.16903076923076923,0.16927692307692307,0.18386153846153847,0.18014615384615384,222.4772163280004
baseline,14.0,84.74359,29.820513,2.0,84.74,29.82,224.14538525100036,0.0,,0.13593846153846154,0.13656923076923075,0.13183846153846154,0.13166153846153847,0.2996846153846153,0.29005384615384616,0.2463,0.24603846153846154,0.1384076923076923,0.14769230769230768,0.24070769230769232,0.2502692307692308,0.19413076923076925,0.1952692307692308,0.18529999999999996,0.1797692307692308,224.20672184199972
contact,14.0,84.74359,29.820513,2.0,84.74,29.82,224.14538525100036,2.1361,232.83453513299992,0.13504615384615384,0.1378153846153846,0.13250000000000003,0.13293076923076924,0.3035615384615385,0.29357692307692307,0.2337615384615384,0.23279999999999998,0.10832307692307694,0.11545384615384614,0.24141538461538462,0.25283076923076925,0.18402307692307693,0.18498461538461541,0.18421538461538461,0.1787923076923077,233.94522092900024
baseline,15.0,107.717949,18.054131,4.0,107.72,18.05,237.3584551009999,0.0,,0.13736923076923074,0.13986923076923075,0.1344692307692308,0.13561538461538458,0.3048538461538462,0.2948538461538462,0.20425384615384615,0.20180769230769227,0.14016153846153845,0.1495230769230769,0.23410769230769232,0.24403846153846148,0.21483846153846148,0.21469230769230768,0.18547692307692304,0.18016923076923075,237.4059383270005
